paper_id,title,year,venue,topic,category,matched_keyword,period
neurips_2012_0034,Gradient-based kernel method for feature extraction and variable selection.,2012,NeurIPS,Representation Learning,Foundation Learning,feature,2010-2014
neurips_2012_0036,Identification of Recurrent Patterns in the Activation of Brain Networks.,2012,NeurIPS,Language Models & NLP,Generative AI,recurrent,2010-2014
neurips_2012_0039,Kernel Latent SVM for Visual Recognition.,2012,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
neurips_2012_0039,Kernel Latent SVM for Visual Recognition.,2012,NeurIPS,Representation Learning,Foundation Learning,latent,2010-2014
neurips_2012_0039,Kernel Latent SVM for Visual Recognition.,2012,NeurIPS,Computer Vision & 3D Perception,Perception,visual,2010-2014
neurips_2012_0040,Latent Coincidence Analysis: A Hidden Variable Model for Distance Metric Learning.,2012,NeurIPS,Classical Statistical ML,Core ML,metric learning,2010-2014
neurips_2012_0040,Latent Coincidence Analysis: A Hidden Variable Model for Distance Metric Learning.,2012,NeurIPS,Representation Learning,Foundation Learning,metric learning,2010-2014
neurips_2012_0041,Learning Probability Measures with respect to Optimal Transport Metrics.,2012,NeurIPS,Optimization & Learning Theory,Core ML,optimal,2010-2014
neurips_2012_0043,Locally Uniform Comparison Image Descriptor.,2012,NeurIPS,Computer Vision & 3D Perception,Perception,image,2010-2014
neurips_2012_0045,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover.,2012,NeurIPS,Classical Statistical ML,Core ML,sparse,2010-2014
neurips_2012_0046,Monte Carlo Methods for Maximum Margin Supervised Topic Models.,2012,NeurIPS,Probabilistic Modeling,Core ML,monte carlo,2010-2014
neurips_2012_0048,Multiresolution Gaussian Processes.,2012,NeurIPS,Probabilistic Modeling,Core ML,gaussian process,2010-2014
neurips_2012_0049,Non-linear Metric Learning.,2012,NeurIPS,Classical Statistical ML,Core ML,metric learning,2010-2014
neurips_2012_0049,Non-linear Metric Learning.,2012,NeurIPS,Representation Learning,Foundation Learning,metric learning,2010-2014
neurips_2012_0051,On the Use of Non-Stationary Policies for Stationary Infinite-Horizon Markov Decision Processes.,2012,NeurIPS,Probabilistic Modeling,Core ML,markov,2010-2014
neurips_2012_0051,On the Use of Non-Stationary Policies for Stationary Infinite-Horizon Markov Decision Processes.,2012,NeurIPS,Reinforcement Learning & Bandits,Decision Making,markov decision process,2010-2014
neurips_2012_0052,On the connections between saliency and tracking.,2012,NeurIPS,Computer Vision & 3D Perception,Perception,tracking,2010-2014
neurips_2012_0053,Optimal kernel choice for large-scale two-sample tests.,2012,NeurIPS,Classical Statistical ML,Core ML,kernel,2010-2014
neurips_2012_0053,Optimal kernel choice for large-scale two-sample tests.,2012,NeurIPS,Optimization & Learning Theory,Core ML,optimal,2010-2014
neurips_2012_0054,Pointwise Tracking the Optimal Regression Function.,2012,NeurIPS,Classical Statistical ML,Core ML,regression,2010-2014
neurips_2012_0054,Pointwise Tracking the Optimal Regression Function.,2012,NeurIPS,Optimization & Learning Theory,Core ML,optimal,2010-2014
neurips_2012_0054,Pointwise Tracking the Optimal Regression Function.,2012,NeurIPS,Computer Vision & 3D Perception,Perception,tracking,2010-2014
neurips_2012_0056,Probabilistic Event Cascades for Alzheimer's disease.,2012,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2012_0057,Probabilistic Low-Rank Subspace Clustering.,2012,NeurIPS,Classical Statistical ML,Core ML,clustering,2010-2014
neurips_2012_0057,Probabilistic Low-Rank Subspace Clustering.,2012,NeurIPS,Probabilistic Modeling,Core ML,probabilistic,2010-2014
neurips_2012_0059,Proximal Newton-type methods for convex optimization.,2012,NeurIPS,Optimization & Learning Theory,Core ML,optimization,2010-2014
