source,target,source_topic,target_topic,source_period,target_period,weight,transition_type
Graph Machine Learning@2010-2014,Probabilistic Modeling@2015-2019,Graph Machine Learning,Probabilistic Modeling,2010-2014,2015-2019,1716,cooccurrence
Graph Machine Learning@2010-2014,Reinforcement Learning & Bandits@2015-2019,Graph Machine Learning,Reinforcement Learning & Bandits,2010-2014,2015-2019,1045,cooccurrence
Graph Machine Learning@2010-2014,Representation Learning@2015-2019,Graph Machine Learning,Representation Learning,2010-2014,2015-2019,979,cooccurrence
Graph Machine Learning@2010-2014,"Robustness, Privacy & Safety@2015-2019",Graph Machine Learning,"Robustness, Privacy & Safety",2010-2014,2015-2019,682,cooccurrence
Language Models & NLP@2010-2014,"Biology, Molecules & Health@2015-2019",Language Models & NLP,"Biology, Molecules & Health",2010-2014,2015-2019,35,cooccurrence
Language Models & NLP@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Language Models & NLP,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,175,cooccurrence
Language Models & NLP@2010-2014,Classical Statistical ML@2015-2019,Language Models & NLP,Classical Statistical ML,2010-2014,2015-2019,635,cooccurrence
Language Models & NLP@2010-2014,Computer Vision & 3D Perception@2015-2019,Language Models & NLP,Computer Vision & 3D Perception,2010-2014,2015-2019,260,cooccurrence
Language Models & NLP@2010-2014,Federated & Distributed Learning@2015-2019,Language Models & NLP,Federated & Distributed Learning,2010-2014,2015-2019,70,cooccurrence
Language Models & NLP@2010-2014,Games & Mechanism Design@2015-2019,Language Models & NLP,Games & Mechanism Design,2010-2014,2015-2019,70,cooccurrence
Language Models & NLP@2010-2014,Generative Models & Diffusion@2015-2019,Language Models & NLP,Generative Models & Diffusion,2010-2014,2015-2019,235,cooccurrence
Language Models & NLP@2010-2014,Graph Machine Learning@2015-2019,Language Models & NLP,Graph Machine Learning,2010-2014,2015-2019,160,cooccurrence
Language Models & NLP@2010-2014,Multimodal & Vision-Language@2015-2019,Language Models & NLP,Multimodal & Vision-Language,2010-2014,2015-2019,45,cooccurrence
Language Models & NLP@2010-2014,Optimization & Learning Theory@2015-2019,Language Models & NLP,Optimization & Learning Theory,2010-2014,2015-2019,810,cooccurrence
Language Models & NLP@2010-2014,Probabilistic Modeling@2015-2019,Language Models & NLP,Probabilistic Modeling,2010-2014,2015-2019,780,cooccurrence
Language Models & NLP@2010-2014,Reinforcement Learning & Bandits@2015-2019,Language Models & NLP,Reinforcement Learning & Bandits,2010-2014,2015-2019,475,cooccurrence
Language Models & NLP@2010-2014,Representation Learning@2015-2019,Language Models & NLP,Representation Learning,2010-2014,2015-2019,445,cooccurrence
Language Models & NLP@2010-2014,"Robustness, Privacy & Safety@2015-2019",Language Models & NLP,"Robustness, Privacy & Safety",2010-2014,2015-2019,310,cooccurrence
Optimization & Learning Theory@2010-2014,"Biology, Molecules & Health@2015-2019",Optimization & Learning Theory,"Biology, Molecules & Health",2010-2014,2015-2019,350,cooccurrence
Optimization & Learning Theory@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Optimization & Learning Theory,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,1750,cooccurrence
Optimization & Learning Theory@2010-2014,Classical Statistical ML@2015-2019,Optimization & Learning Theory,Classical Statistical ML,2010-2014,2015-2019,6350,cooccurrence
Optimization & Learning Theory@2010-2014,Computer Vision & 3D Perception@2015-2019,Optimization & Learning Theory,Computer Vision & 3D Perception,2010-2014,2015-2019,2600,cooccurrence
Optimization & Learning Theory@2010-2014,Federated & Distributed Learning@2015-2019,Optimization & Learning Theory,Federated & Distributed Learning,2010-2014,2015-2019,700,cooccurrence
Optimization & Learning Theory@2010-2014,Games & Mechanism Design@2015-2019,Optimization & Learning Theory,Games & Mechanism Design,2010-2014,2015-2019,700,cooccurrence
Optimization & Learning Theory@2010-2014,Generative Models & Diffusion@2015-2019,Optimization & Learning Theory,Generative Models & Diffusion,2010-2014,2015-2019,2350,cooccurrence
Optimization & Learning Theory@2010-2014,Graph Machine Learning@2015-2019,Optimization & Learning Theory,Graph Machine Learning,2010-2014,2015-2019,1600,cooccurrence
Optimization & Learning Theory@2010-2014,Language Models & NLP@2015-2019,Optimization & Learning Theory,Language Models & NLP,2010-2014,2015-2019,2350,cooccurrence
Optimization & Learning Theory@2010-2014,Multimodal & Vision-Language@2015-2019,Optimization & Learning Theory,Multimodal & Vision-Language,2010-2014,2015-2019,450,cooccurrence
Optimization & Learning Theory@2010-2014,Probabilistic Modeling@2015-2019,Optimization & Learning Theory,Probabilistic Modeling,2010-2014,2015-2019,7800,cooccurrence
Optimization & Learning Theory@2010-2014,Reinforcement Learning & Bandits@2015-2019,Optimization & Learning Theory,Reinforcement Learning & Bandits,2010-2014,2015-2019,4750,cooccurrence
Optimization & Learning Theory@2010-2014,Representation Learning@2015-2019,Optimization & Learning Theory,Representation Learning,2010-2014,2015-2019,4450,cooccurrence
Optimization & Learning Theory@2010-2014,"Robustness, Privacy & Safety@2015-2019",Optimization & Learning Theory,"Robustness, Privacy & Safety",2010-2014,2015-2019,3100,cooccurrence
Probabilistic Modeling@2010-2014,"Biology, Molecules & Health@2015-2019",Probabilistic Modeling,"Biology, Molecules & Health",2010-2014,2015-2019,588,cooccurrence
Probabilistic Modeling@2010-2014,"Causality, Dynamics & Scientific ML@2015-2019",Probabilistic Modeling,"Causality, Dynamics & Scientific ML",2010-2014,2015-2019,2940,cooccurrence
Probabilistic Modeling@2010-2014,Classical Statistical ML@2015-2019,Probabilistic Modeling,Classical Statistical ML,2010-2014,2015-2019,10668,cooccurrence
Probabilistic Modeling@2010-2014,Computer Vision & 3D Perception@2015-2019,Probabilistic Modeling,Computer Vision & 3D Perception,2010-2014,2015-2019,4368,cooccurrence
Probabilistic Modeling@2010-2014,Federated & Distributed Learning@2015-2019,Probabilistic Modeling,Federated & Distributed Learning,2010-2014,2015-2019,1176,cooccurrence
Probabilistic Modeling@2010-2014,Games & Mechanism Design@2015-2019,Probabilistic Modeling,Games & Mechanism Design,2010-2014,2015-2019,1176,cooccurrence
Probabilistic Modeling@2010-2014,Generative Models & Diffusion@2015-2019,Probabilistic Modeling,Generative Models & Diffusion,2010-2014,2015-2019,3948,cooccurrence
Probabilistic Modeling@2010-2014,Graph Machine Learning@2015-2019,Probabilistic Modeling,Graph Machine Learning,2010-2014,2015-2019,2688,cooccurrence
Probabilistic Modeling@2010-2014,Language Models & NLP@2015-2019,Probabilistic Modeling,Language Models & NLP,2010-2014,2015-2019,3948,cooccurrence
Probabilistic Modeling@2010-2014,Multimodal & Vision-Language@2015-2019,Probabilistic Modeling,Multimodal & Vision-Language,2010-2014,2015-2019,756,cooccurrence
Probabilistic Modeling@2010-2014,Optimization & Learning Theory@2015-2019,Probabilistic Modeling,Optimization & Learning Theory,2010-2014,2015-2019,13608,cooccurrence
Probabilistic Modeling@2010-2014,Reinforcement Learning & Bandits@2015-2019,Probabilistic Modeling,Reinforcement Learning & Bandits,2010-2014,2015-2019,7980,cooccurrence
