topic,category,year,share,prev_avg_share,burst_score
Graph Data,Data Models,2022,0.149812734082397,0.13472878603897667,0.015083948043420337
Indexing,Storage & Access,2022,0.0749063670411985,0.066407742823151,0.008498624218047507
Information Retrieval,Applications,2022,0.0599250936329588,0.06471524210352582,-0.004790148470567017
ML for DB,AI for Data Systems,2022,0.1760299625468165,0.1574823888314171,0.01854757371539939
Privacy / Security,Trust,2022,0.0299625468164794,0.023793129618004283,0.006169417198475118
Query Optimization,Query Processing,2022,0.11610486891385768,0.10459128850731562,0.01151358040654206
RDF / Semantic Web,Data Models,2022,0.003745318352059925,0.019770105541752504,-0.01602478718969258
Spatial / Temporal,Specialized Data,2022,0.052434456928838954,0.031658473254994886,0.02077598367384407
Streaming,Data Processing,2022,0.026217228464419477,0.04189520292447816,-0.015677974460058683
Transactions,Systems,2022,0.03745318352059925,0.023335043978186268,0.014118139542412984
Vector Search,AI for Data Systems,2022,0.011235955056179775,0.011863899228895825,-0.0006279441727160499
Cloud DB,Systems,2023,0.020618556701030927,0.027479615016724548,-0.00686105831569362
Data Analytics,Applications,2023,0.11958762886597939,0.15384244194972907,-0.03425481308374968
Data Integration,Data Processing,2023,0.016494845360824743,0.030503856624722592,-0.01400901126389785
Distributed DB,Systems,2023,0.06391752577319587,0.06839094568071398,-0.004473419907518109
Graph Data,Data Models,2023,0.15257731958762888,0.13555922120929947,0.017018098378329405
Indexing,Storage & Access,2023,0.07010309278350516,0.07203129374164574,-0.0019282009581405857
Information Retrieval,Applications,2023,0.06597938144329897,0.06385693998117875,0.0021224414621202198
ML for DB,AI for Data Systems,2023,0.19175257731958764,0.17598047158511787,0.01577210573446977
Privacy / Security,Trust,2023,0.016494845360824743,0.02485207379492599,-0.008357228434101246
Query Optimization,Query Processing,2023,0.12371134020618557,0.10906672100241104,0.014644619203774537
RDF / Semantic Web,Data Models,2023,0.016494845360824743,0.012089973563867719,0.004404871796957024
Spatial / Temporal,Specialized Data,2023,0.08247422680412371,0.04318424461222692,0.03928998219189679
Streaming,Data Processing,2023,0.03711340206185567,0.03872951717452275,-0.0016161151126670784
Text-to-SQL / NLIDB,AI for Data Systems,2023,0.002061855670103093,,
Transactions,Systems,2023,0.008247422680412371,0.02540277181838602,-0.017155349137973647
Vector Search,AI for Data Systems,2023,0.012371134020618556,0.011144931866670036,0.0012262021539485198
Cloud DB,Systems,2024,0.03262955854126679,0.027083516056216683,0.005546042485050109
Crowdsourcing,Applications,2024,0.003838771593090211,,
Data Analytics,Applications,2024,0.1343570057581574,0.1365917969507461,-0.0022347911925887087
Data Integration,Data Processing,2024,0.026871401151631478,0.020425814424125232,0.006445586727506246
Distributed DB,Systems,2024,0.061420345489443376,0.06373624762588104,-0.0023159021364376614
Graph Data,Data Models,2024,0.16122840690978887,0.14384304217256935,0.017385364737219522
Indexing,Storage & Access,2024,0.0690978886756238,0.07151529455525442,-0.002417405879630616
Information Retrieval,Applications,2024,0.05758157389635317,0.06404321354639056,-0.00646163965003739
ML for DB,AI for Data Systems,2024,0.18234165067178504,0.19213060379652766,-0.009788953124742622
Privacy / Security,Trust,2024,0.019193857965451054,0.02100456118934421,-0.0018107032238931543
Query Optimization,Query Processing,2024,0.10748560460652591,0.1108438136360409,-0.0033582090295149886
RDF / Semantic Web,Data Models,2024,0.015355086372360844,0.014472990553301512,0.0008820958190593319
Spatial / Temporal,Specialized Data,2024,0.0671785028790787,0.058214594356903675,0.008963908522175025
Streaming,Data Processing,2024,0.026871401151631478,0.03656274880677163,-0.00969134765514015
Text-to-SQL / NLIDB,AI for Data Systems,2024,0.003838771593090211,,
Transactions,Systems,2024,0.01727447216890595,0.022959804716010498,-0.005685332547104547
Vector Search,AI for Data Systems,2024,0.013435700575815739,0.010076535211029908,0.0033591653647858308
